layer,context_condition,prompt_format,mean,median,count
0,ambig,multiple_choice,-4503.05,-12928.0,20
0,ambig,open_ended,-6670.95,-17758.5,20
0,disambig,multiple_choice,-4911.8,-12429.5,20
0,disambig,open_ended,-7162.45,-16743.5,20
1,ambig,multiple_choice,-4554.0,-19222.5,20
1,ambig,open_ended,1733.5,-12759.0,20
1,disambig,multiple_choice,-454.65,-13720.0,20
1,disambig,open_ended,3046.8,-9271.5,20
2,ambig,multiple_choice,250.5,-3331.0,20
2,ambig,open_ended,402.05,-6088.5,20
2,disambig,multiple_choice,3380.65,-3546.0,20
2,disambig,open_ended,2647.3,-6502.0,20
3,ambig,multiple_choice,-5039.05,-5165.0,20
3,ambig,open_ended,-2257.15,316.5,20
3,disambig,multiple_choice,2289.3,-2942.0,20
3,disambig,open_ended,2290.85,1366.0,20
4,ambig,multiple_choice,1565.3,4777.0,20
4,ambig,open_ended,-2586.7,3257.5,20
4,disambig,multiple_choice,5629.25,4381.5,20
4,disambig,open_ended,1465.85,6120.0,20
5,ambig,multiple_choice,-13928.1,-9955.0,20
5,ambig,open_ended,-14823.55,-2637.5,20
5,disambig,multiple_choice,-12954.95,-12197.5,20
5,disambig,open_ended,-16773.5,-8698.5,20
6,ambig,multiple_choice,-10481.7,7993.5,20
6,ambig,open_ended,-3445.3,6490.0,20
6,disambig,multiple_choice,-8159.3,5276.5,20
6,disambig,open_ended,-7274.55,-3889.5,20
7,ambig,multiple_choice,-5328.25,3573.0,20
7,ambig,open_ended,-3557.1,4181.0,20
7,disambig,multiple_choice,-4220.15,4901.0,20
7,disambig,open_ended,-7704.4,-421.5,20
8,ambig,multiple_choice,-691.3,-1135.5,20
8,ambig,open_ended,932.6,3406.5,20
8,disambig,multiple_choice,-421.2,1075.5,20
8,disambig,open_ended,-3812.75,176.0,20
9,ambig,multiple_choice,9924.1,8468.0,20
9,ambig,open_ended,5562.85,4560.0,20
9,disambig,multiple_choice,10818.75,9403.0,20
9,disambig,open_ended,4623.2,-37.5,20
10,ambig,multiple_choice,5030.55,-3081.0,20
10,ambig,open_ended,2838.8,-4737.5,20
10,disambig,multiple_choice,7871.35,-1611.0,20
10,disambig,open_ended,273.5,-4223.0,20
11,ambig,multiple_choice,1616.6,-1540.5,20
11,ambig,open_ended,2250.3,-1773.5,20
11,disambig,multiple_choice,4616.2,6940.5,20
11,disambig,open_ended,-3595.6,-6695.0,20
12,ambig,multiple_choice,1623.65,-1646.0,20
12,ambig,open_ended,4720.0,-409.5,20
12,disambig,multiple_choice,3380.7,513.0,20
12,disambig,open_ended,718.4,-1875.5,20
13,ambig,multiple_choice,2113.4,-8073.5,20
13,ambig,open_ended,5574.7,-6203.0,20
13,disambig,multiple_choice,4451.65,-6573.5,20
13,disambig,open_ended,-4849.2,-14170.0,20
14,ambig,multiple_choice,-8671.8,-24087.5,20
14,ambig,open_ended,3872.7,-11077.5,20
14,disambig,multiple_choice,-4771.8,-16774.0,20
14,disambig,open_ended,-4002.75,-12222.0,20
15,ambig,multiple_choice,-34639.15,-59838.5,20
15,ambig,open_ended,2093.05,-8943.5,20
15,disambig,multiple_choice,-31487.6,-35291.0,20
15,disambig,open_ended,-4071.75,-8090.5,20
16,ambig,multiple_choice,-40646.5,-40016.5,20
16,ambig,open_ended,-337.3,-3367.5,20
16,disambig,multiple_choice,-39750.65,-29940.5,20
16,disambig,open_ended,-4393.2,-1100.5,20
17,ambig,multiple_choice,-39269.15,-45595.5,20
17,ambig,open_ended,-1332.3,-3588.5,20
17,disambig,multiple_choice,-35605.45,-33060.0,20
17,disambig,open_ended,-4913.85,-2768.5,20
18,ambig,multiple_choice,-40863.55,-84755.5,20
18,ambig,open_ended,239.7,-2965.0,20
18,disambig,multiple_choice,-36649.8,-70248.5,20
18,disambig,open_ended,-4275.0,-692.5,20
19,ambig,multiple_choice,-26213.1,-18310.5,20
19,ambig,open_ended,-498.75,-203.5,20
19,disambig,multiple_choice,-18262.25,-14271.5,20
19,disambig,open_ended,-180.5,-2.5,20
20,ambig,multiple_choice,-12718.5,-7121.0,20
20,ambig,open_ended,712.75,-43.5,20
20,disambig,multiple_choice,-6877.15,-3445.5,20
20,disambig,open_ended,5.5,-1.0,20
21,ambig,multiple_choice,-11865.35,-4177.0,20
21,ambig,open_ended,1043.3,-338.0,20
21,disambig,multiple_choice,-7421.0,-845.5,20
21,disambig,open_ended,216.8,-3.0,20
22,ambig,multiple_choice,-8648.65,-5404.0,20
22,ambig,open_ended,1081.95,34.0,20
22,disambig,multiple_choice,-5260.2,-2219.5,20
22,disambig,open_ended,254.95,-3.5,20
