layer,question_polarity,prompt_format,mean,median,count
0,neg,multiple_choice,-5041.65,-12819.0,20
0,neg,open_ended,-7563.3,-19832.0,20
0,nonneg,multiple_choice,-4373.2,-11914.5,20
0,nonneg,open_ended,-6270.1,-15706.5,20
1,neg,multiple_choice,-3011.9,-16011.0,20
1,neg,open_ended,1162.2,-13725.0,20
1,nonneg,multiple_choice,-1996.75,-17873.5,20
1,nonneg,open_ended,3618.1,-8353.5,20
2,neg,multiple_choice,1321.6,-2161.5,20
2,neg,open_ended,-105.85,-6655.5,20
2,nonneg,multiple_choice,2309.55,-3647.0,20
2,nonneg,open_ended,3155.2,-5935.0,20
3,neg,multiple_choice,-1770.35,-3693.0,20
3,neg,open_ended,-331.45,597.5,20
3,nonneg,multiple_choice,-979.4,-3481.5,20
3,nonneg,open_ended,365.15,1016.5,20
4,neg,multiple_choice,3110.75,4660.0,20
4,neg,open_ended,589.5,6419.0,20
4,nonneg,multiple_choice,4083.8,4955.0,20
4,nonneg,open_ended,-1710.35,2888.0,20
5,neg,multiple_choice,-13279.0,-10859.5,20
5,neg,open_ended,-15061.45,-3562.0,20
5,nonneg,multiple_choice,-13604.05,-11324.0,20
5,nonneg,open_ended,-16535.6,-2637.5,20
6,neg,multiple_choice,-9364.95,5336.0,20
6,neg,open_ended,-5671.05,337.0,20
6,nonneg,multiple_choice,-9276.05,6628.5,20
6,nonneg,open_ended,-5048.8,2185.0,20
7,neg,multiple_choice,-4516.05,4220.0,20
7,neg,open_ended,-5497.35,2082.5,20
7,nonneg,multiple_choice,-5032.35,4443.5,20
7,nonneg,open_ended,-5764.15,1305.5,20
8,neg,multiple_choice,-916.1,1075.5,20
8,neg,open_ended,-490.85,2890.5,20
8,nonneg,multiple_choice,-196.4,-304.0,20
8,nonneg,open_ended,-2389.3,-137.5,20
9,neg,multiple_choice,9858.2,8945.0,20
9,neg,open_ended,4812.25,3620.0,20
9,nonneg,multiple_choice,10884.65,8876.5,20
9,nonneg,open_ended,5373.8,466.0,20
10,neg,multiple_choice,6035.1,-2416.0,20
10,neg,open_ended,1098.4,-3533.0,20
10,nonneg,multiple_choice,6866.8,-1741.5,20
10,nonneg,open_ended,2013.9,-5594.5,20
11,neg,multiple_choice,2327.2,3241.0,20
11,neg,open_ended,-688.05,-3119.5,20
11,nonneg,multiple_choice,3905.6,-1471.0,20
11,nonneg,open_ended,-657.25,-5078.0,20
12,neg,multiple_choice,2556.65,273.0,20
12,neg,open_ended,3146.6,-1173.0,20
12,nonneg,multiple_choice,2447.7,-1906.0,20
12,nonneg,open_ended,2291.8,-1860.0,20
13,neg,multiple_choice,3450.35,-3685.5,20
13,neg,open_ended,1079.75,-8628.5,20
13,nonneg,multiple_choice,3114.7,-11708.0,20
13,nonneg,open_ended,-354.25,-8450.0,20
14,neg,multiple_choice,-5932.9,-17057.5,20
14,neg,open_ended,-778.05,-13484.5,20
14,nonneg,multiple_choice,-7510.7,-24930.5,20
14,nonneg,open_ended,648.0,-11991.0,20
15,neg,multiple_choice,-30269.55,-43307.5,20
15,neg,open_ended,-1804.7,-8459.5,20
15,nonneg,multiple_choice,-35857.2,-60917.0,20
15,nonneg,open_ended,-174.0,-8943.5,20
16,neg,multiple_choice,-36313.3,-37025.5,20
16,neg,open_ended,-2987.85,-1788.0,20
16,nonneg,multiple_choice,-44083.85,-44545.5,20
16,nonneg,open_ended,-1742.65,-2680.0,20
17,neg,multiple_choice,-34234.7,-37734.0,20
17,neg,open_ended,-3393.7,-1817.0,20
17,nonneg,multiple_choice,-40639.9,-51659.5,20
17,nonneg,open_ended,-2852.45,-4008.0,20
18,neg,multiple_choice,-35179.65,-78435.5,20
18,neg,open_ended,-2218.35,-946.5,20
18,nonneg,multiple_choice,-42333.7,-82339.5,20
18,nonneg,open_ended,-1816.95,-2957.5,20
19,neg,multiple_choice,-20517.0,-14279.0,20
19,neg,open_ended,-256.35,5.0,20
19,nonneg,multiple_choice,-23958.35,-15397.5,20
19,nonneg,open_ended,-422.9,-10.0,20
20,neg,multiple_choice,-8204.35,-4116.5,20
20,neg,open_ended,402.0,3.0,20
20,nonneg,multiple_choice,-11391.3,-5519.0,20
20,nonneg,open_ended,316.25,-4.5,20
21,neg,multiple_choice,-8272.65,-3463.0,20
21,neg,open_ended,815.2,2.0,20
21,nonneg,multiple_choice,-11013.7,-2163.5,20
21,nonneg,open_ended,444.9,-13.0,20
22,neg,multiple_choice,-6575.5,-3396.0,20
22,neg,open_ended,777.65,4.5,20
22,nonneg,multiple_choice,-7333.35,-2271.5,20
22,nonneg,open_ended,559.25,-5.0,20
